=================================================
=== Barrier Analysis (filtering for 'kind = barrier*') ===
=================================================

--- Analysis for: copyprivate ---
[3][callback_sync_region] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000005 (0x7f010c000b80) | codeptr_ra = (nil)
[3][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000005 (0x7f010c000b80) | codeptr_ra = (nil)
[2][callback_sync_region] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000004 (0x7f0114000b80) | codeptr_ra = (nil)
[2][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000004 (0x7f0114000b80) | codeptr_ra = (nil)
[0][callback_sync_region] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000002 (0x27d7f0) | codeptr_ra = (nil)
[0][callback_sync_region_wait] kind = barrier | endpoint = begin | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000002 (0x27d7f0) | codeptr_ra = (nil)
[2][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000004 (0x7f0114000b80) | codeptr_ra = (nil)
[2][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000004 (0x7f0114000b80) | codeptr_ra = (nil)
[3][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000005 (0x7f010c000b80) | codeptr_ra = (nil)
[3][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000005 (0x7f010c000b80) | codeptr_ra = (nil)
[1][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000003 (0x7f0124000b80) | codeptr_ra = (nil)
[1][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000003 (0x7f0124000b80) | codeptr_ra = (nil)
[0][callback_sync_region_wait] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000002 (0x27d7f0) | codeptr_ra = (nil)
[0][callback_sync_region] kind = barrier | endpoint = end | parallel_data->value = 666000001 (0x25cd60) | task_data->value = 555000002 (0x27d7f0) | codeptr_ra = (nil)

All tests finished.
